课程名称	课程时间	课程目标	课程价格	课程配额	课程链接	教师名称	教师链接
四年级猿编程L1系统班 第10期（周日下午）	2月17日-5月19日	适合四年级 | 全国地区通用	1999	3人报名	https://www.yuanfudao.com/lessons/3088718.html	崔丹阳	https://www.yuanfudao.com/teachers/147590008/lesson?lessonId=3088718
【英语校内卓越班】六年级英语寒假系统5班	2月10日-2月17日	适合六年级 | 全国地区通用	700	32人报名	https://www.yuanfudao.com/lessons/3083406.html	刘佳 李婷	https://www.yuanfudao.com/teachers/106425718/lesson?lessonId=3083406
【英语能力强化班】一年级英语春季系统16班	3月6日-6月16日	适合一年级 | 全国地区通用	1650	31人报名	https://www.yuanfudao.com/lessons/3082936.html	张峥妍 李晓慧	https://www.yuanfudao.com/teachers/119675466/lesson?lessonId=3082936
【英语校内卓越班】五年级英语寒假系统7班	1月26日-2月2日	适合五年级 | 全国地区通用	700	29人报名	https://www.yuanfudao.com/lessons/3083388.html	熊婉莉 尚茜	https://www.yuanfudao.com/teachers/131689176/lesson?lessonId=3083388
初二数学寒假系统班（北师版·寒1期18:10）	1月19日-1月26日 · 18:10-20:30	适合八年级 | 全国地区通用	499	846人报名	https://www.yuanfudao.com/lessons/3080744.html	朱玲玲	https://www.yuanfudao.com/teachers/60153716/lesson?lessonId=3080744
【目标联赛】高一数学春季自招班（周六19:00）	3月2日-6月15日 · 周六19:00上课	适合高一 | 全国地区通用	799	210人报名  限报2000人	https://www.yuanfudao.com/lessons/3081224.html	陈熹	https://www.yuanfudao.com/teachers/64078066/lesson?lessonId=3081224
高一语文春季系统班（周六21:10）	3月2日-6月22日 · 21:10-23:35	适合高一 | 全国地区通用	799	392人报名  每60人分小班	https://www.yuanfudao.com/lessons/3081422.html	刘薇	https://www.yuanfudao.com/teachers/84707930/lesson?lessonId=3081422
【目标优等班】初一英语寒假系统班（寒3期18:10）	2月16日-2月23日 · 18:10-20:30	适合七年级 | 全国地区通用	99	870人报名  每50人分小班	https://www.yuanfudao.com/lessons/3079382.html	文靓	https://www.yuanfudao.com/teachers/50922963/lesson?lessonId=3079382
【目标优等班】初二英语寒假系统班（寒3期09:00）	2月16日-2月23日 · 早9:00-11:20	适合八年级 | 全国地区通用	499	360人报名  每30人分小班	https://www.yuanfudao.com/lessons/3079400.html	闵佳琳	https://www.yuanfudao.com/teachers/48581779/lesson?lessonId=3079400
【目标优等班】初三化学寒假系统班（寒1期·18:10）	1月19日-1月26日 · 18:10-20:30	适合九年级 | 全国地区通用	499	426人报名	https://www.yuanfudao.com/lessons/3079232.html	冯雪	https://www.yuanfudao.com/teachers/79684458/lesson?lessonId=3079232
高一数学春季系统班（非课改版·必修5+必修2·周日13:00）	3月3日-6月23日 · 13:00-15:25	适合高一 | 全国地区通用	799	331人报名  每60人分小班	https://www.yuanfudao.com/lessons/3080900.html	韩乾	https://www.yuanfudao.com/teachers/85608340/lesson?lessonId=3080900
【目标985班】高一英语春季系统班（周六18:30）	3月2日-6月22日 · 18:30-20:55	适合高一 | 全国地区通用	799	574人报名  每60人分小班	https://www.yuanfudao.com/lessons/3080230.html	崔妍	https://www.yuanfudao.com/teachers/111857828/lesson?lessonId=3080230
【英语能力发展班】五年级英语春季系统5班	3月6日-6月16日	适合五年级 | 全国地区通用	1650	30人报名	https://www.yuanfudao.com/lessons/3081964.html	李政 王晓茜	https://www.yuanfudao.com/teachers/116309724/lesson?lessonId=3081964
【目标985班】高三英语寒假系统班（寒2期09:00）	1月27日-2月3日 · 早09:00-11:00	适合高三 | 全国地区通用	249	2000人报名	https://www.yuanfudao.com/lessons/3080158.html	斯琴	https://www.yuanfudao.com/teachers/14501569/lesson?lessonId=3080158
【英语能力起航班】三年级英语寒假系统7班	2月19日-2月26日	适合三年级 | 全国地区通用	700	31人报名	https://www.yuanfudao.com/lessons/3088730.html	张丽丽 余佳乐	https://www.yuanfudao.com/teachers/129076440/lesson?lessonId=3088730
【猿书房】从《人间词话》学诗词赏析（上）	高二 · 1月15日-2月7日 · 55分钟/次 · 4次课	适合高二 | 全国地区通用	12	569人报名	https://www.yuanfudao.com/lessons/3095374.html	刘薇 赵占坤	https://www.yuanfudao.com/teachers/84707930/lesson?lessonId=3095374
【英语校内卓越班】六年级英语寒假系统5班	1月26日-2月2日	适合六年级 | 全国地区通用	700	33人报名	https://www.yuanfudao.com/lessons/3085568.html	胡可 张月	https://www.yuanfudao.com/teachers/156246150/lesson?lessonId=3085568
【目标卓越班】初三英语寒假系统班（寒3期18:10）	2月16日-2月23日 · 18:10-20:30	适合九年级 | 全国地区通用	499	603人报名  每30人分小班	https://www.yuanfudao.com/lessons/3079418.html	夏天	https://www.yuanfudao.com/teachers/39692981/lesson?lessonId=3079418
高二地理寒假系统班（寒3期21:30）	2月10日-2月17日 · 21:30-23:30	适合高二 | 全国地区通用	249	841人报名  限报2000人	https://www.yuanfudao.com/lessons/3079550.html	温卿	https://www.yuanfudao.com/teachers/58419052/lesson?lessonId=3079550
