课程名称	课程时间	课程目标	课程价格	课程配额	课程链接	教师名称	教师链接
初三历史寒假系统班（寒2期15:35）	1月30日-2月13日 · 15:35-18:00	适合九年级 | 全国地区通用	499	495人报名	https://www.yuanfudao.com/lessons/3079820.html	唐浩	https://www.yuanfudao.com/teachers/119822784/lesson?lessonId=3079820
高三政治寒假系统班（寒2期16:00）	1月27日-2月3日 · 16:00-18:00	适合高三 | 全国地区通用	249	170人报名	https://www.yuanfudao.com/lessons/3079742.html	梁如冰	https://www.yuanfudao.com/teachers/132614682/lesson?lessonId=3079742
【数学能力发展班】一年级数学寒假系统班（寒3期19:00）	2月18日-2月25日 · 19:00-20:10	适合一年级 | 全国地区通用	99	每50人分小班	https://www.yuanfudao.com/lessons/3093398.html	丁当	https://www.yuanfudao.com/teachers/155081018/lesson?lessonId=3093398
【目标卓越班】初三数学寒假系统班（寒2期15:35）	1月30日-2月13日 · 15:35-17:55	适合九年级 | 全国地区通用	499	1051人报名	https://www.yuanfudao.com/lessons/3081150.html	王亮亮	https://www.yuanfudao.com/teachers/39413413/lesson?lessonId=3081150
高三政治春季系统班（周日09:00）	3月3日-6月2日 · 早09:00-11:00	适合高三 | 全国地区通用	499	28人报名  限报2000人	https://www.yuanfudao.com/lessons/3079828.html	梁如冰	https://www.yuanfudao.com/teachers/132614682/lesson?lessonId=3079828
高三语文春季系统班（周日13:00）	3月3日-6月2日 · 13:00-15:00	适合高三 | 全国地区通用	499	180人报名  限报2000人	https://www.yuanfudao.com/lessons/3081358.html	何燕	https://www.yuanfudao.com/teachers/100387696/lesson?lessonId=3081358
【目标卓越班】初三化学寒假系统班（寒3期·18:10）	2月16日-2月23日 · 18:10-20:30	适合九年级 | 全国地区通用	499	224人报名  每30人分小班	https://www.yuanfudao.com/lessons/3079230.html	张成	https://www.yuanfudao.com/teachers/46929809/lesson?lessonId=3079230
【数学课内卓越班】六年级数学春季系统班（周日09:30）	3月3日-6月16日 · 早09:30-11:30	适合六年级 | 全国地区通用	999	每30人分小班	https://www.yuanfudao.com/lessons/3084088.html	季敏修	https://www.yuanfudao.com/teachers/129358330/lesson?lessonId=3084088
【实验课】力学动手小实验	七年级八年级 · 1月28日-1月30日 · 55分钟/次 · 3次课	适合七年级 八年级 | 全国地区通用	15	343人报名	https://www.yuanfudao.com/lessons/3102792.html	刘琳	https://www.yuanfudao.com/teachers/152913852/lesson?lessonId=3102792
【小猿热搜】高三生物典型题（系列3）	高三 · 2月8日-2月14日 · 55分钟/次 · 4次课	适合高三 | 全国地区通用	20	208人报名	https://www.yuanfudao.com/lessons/3098198.html	刘丹	https://www.yuanfudao.com/teachers/85099492/lesson?lessonId=3098198
【目标985班】高三化学春季系统班（周日09:00）	3月3日-6月2日 · 早09:00-11:00	适合高三 | 全国地区通用	499	3人报名  限报2000人	https://www.yuanfudao.com/lessons/3085886.html	冷道年	https://www.yuanfudao.com/teachers/162690364/lesson?lessonId=3085886
【目标卓越班】初二物理春季系统班（周日14:00）	3月3日-6月23日 · 14:00-16:25	适合八年级 | 全国地区通用	999	243人报名  每30人分小班	https://www.yuanfudao.com/lessons/3079596.html	吴去非	https://www.yuanfudao.com/teachers/35268287/lesson?lessonId=3079596
【英语校内卓越班】四年级英语春季系统3班	3月6日-6月16日	适合四年级 | 全国地区通用	1650	26人报名  限报30人	https://www.yuanfudao.com/lessons/3083834.html	邢宇琪 郭芳	https://www.yuanfudao.com/teachers/121825876/lesson?lessonId=3083834
初二语文春季系统班（周日14:00）	3月3日-6月23日 · 14:00-16:30	适合八年级 | 全国地区通用	999	338人报名  每30人分小班	https://www.yuanfudao.com/lessons/3079274.html	张一帆	https://www.yuanfudao.com/teachers/84911824/lesson?lessonId=3079274
【目标一本班】高三化学春季系统班（周日09:00）	3月3日-6月2日 · 早09:00-11:00	适合高三 | 全国地区通用	499	127人报名  限报2000人	https://www.yuanfudao.com/lessons/3079700.html	闫晶	https://www.yuanfudao.com/teachers/29917083/lesson?lessonId=3079700
【数学能力发展班】五年级数学寒假系统班（寒3期18:30）	2月18日-2月24日 · 18:30-20:30	适合五年级 | 全国地区通用	99	已报满或无信息	https://www.yuanfudao.com/lessons/3092228.html	吕娜	https://www.yuanfudao.com/teachers/159103944/lesson?lessonId=3092228
四年级猿编程L1系统班 第10期（周六早）	2月16日-5月18日	适合四年级 | 全国地区通用	1999	4人报名	https://www.yuanfudao.com/lessons/3088716.html	崔丹阳	https://www.yuanfudao.com/teachers/147590008/lesson?lessonId=3088716
高三地理寒假系统班（寒3期21:30）	2月7日-2月14日 · 21:30-23:30	适合高三 | 全国地区通用	249	29人报名  限报50人	https://www.yuanfudao.com/lessons/3096686.html	崔建军	https://www.yuanfudao.com/teachers/173351894/lesson?lessonId=3096686
【目标985班】高一物理春季系统班（周日09:00）	3月3日-6月23日 · 早09:00-11:25	适合高一 | 全国地区通用	799	152人报名  每60人分小班	https://www.yuanfudao.com/lessons/3080072.html	苗锟	https://www.yuanfudao.com/teachers/2343403/lesson?lessonId=3080072
【英语能力发展班】五年级英语春季系统3班	3月5日-6月15日	适合五年级 | 全国地区通用	1650	14人报名  限报30人	https://www.yuanfudao.com/lessons/3080214.html	李彦彦 臧雪妍	https://www.yuanfudao.com/teachers/80092654/lesson?lessonId=3080214
【数学能力发展班】三年级数学春季系统班（周日18:30）	3月3日-6月16日 · 18:30-20:30	适合三年级 | 全国地区通用	999	每30人分小班	https://www.yuanfudao.com/lessons/3086504.html	杨博	https://www.yuanfudao.com/teachers/150549488/lesson?lessonId=3086504
五、六年级猿编程L1系统班 第10期（周六下午）	2月16日-5月18日	适合五年级 六年级 | 全国地区通用	1999	16人报名	https://www.yuanfudao.com/lessons/3088726.html	崔丹阳	https://www.yuanfudao.com/teachers/147590008/lesson?lessonId=3088726
【英语校内卓越班】六年级英语寒假系统6班	1月26日-2月2日	适合六年级 | 全国地区通用	700	31人报名	https://www.yuanfudao.com/lessons/3085570.html	胡可 张月	https://www.yuanfudao.com/teachers/156246150/lesson?lessonId=3085570
【数学能力发展班】一年级数学春季系统班（周五19:00）	3月1日-6月14日 · 19:00-20:30	适合一年级 | 全国地区通用	999	每30人分小班	https://www.yuanfudao.com/lessons/3083344.html	丁当	https://www.yuanfudao.com/teachers/155081018/lesson?lessonId=3083344
【目标985班】高二英语春季系统班（周六19:00）	3月2日-6月15日 · 19:00-21:00	适合高二 | 全国地区通用	499	498人报名  限报2000人	https://www.yuanfudao.com/lessons/3080250.html	罗杰	https://www.yuanfudao.com/teachers/57891538/lesson?lessonId=3080250
高一语文春季系统班（周六18:30）	3月2日-6月22日 · 18:30-20:55	适合高一 | 全国地区通用	799	280人报名  每60人分小班	https://www.yuanfudao.com/lessons/3081430.html	刘薇	https://www.yuanfudao.com/teachers/84707930/lesson?lessonId=3081430
【目标卓越班】初三物理寒假系统班（寒2期15:35）	1月30日-2月13日 · 15:35-17:55	适合九年级 | 全国地区通用	499	360人报名	https://www.yuanfudao.com/lessons/3101924.html	马丽媛	https://www.yuanfudao.com/teachers/15586239/lesson?lessonId=3101924
【目标卓越班】初三物理寒假系统班（寒2期13:00）	1月30日-2月13日 · 13:00-15:25	适合九年级 | 全国地区通用	499	799人报名	https://www.yuanfudao.com/lessons/3079178.html	吴去非	https://www.yuanfudao.com/teachers/35268287/lesson?lessonId=3079178
【英语能力强化班】二年级英语春季系统6班	3月7日-6月16日	适合二年级 | 全国地区通用	1650	10人报名  限报30人	https://www.yuanfudao.com/lessons/3081652.html	侯越 煜欢	https://www.yuanfudao.com/teachers/107869758/lesson?lessonId=3081652
【英语校内卓越班】六年级英语寒假系统22班	1月26日-2月2日	适合六年级 | 全国地区通用	700	31人报名	https://www.yuanfudao.com/lessons/3090752.html	甘可Reb… 张月	https://www.yuanfudao.com/teachers/161758944/lesson?lessonId=3090752
【目标985班】高三化学寒假系统班（寒3期16:00）	2月7日-2月14日 · 16:00-18:00	适合高三 | 全国地区通用	249	83人报名  限报129人	https://www.yuanfudao.com/lessons/3085862.html	冷道年	https://www.yuanfudao.com/teachers/162690364/lesson?lessonId=3085862
【目标卓越班】初二数学寒假系统班（寒3期13:00）	2月16日-2月23日 · 13:00-15:20	适合八年级 | 全国地区通用	499	694人报名  每30人分小班	https://www.yuanfudao.com/lessons/3081184.html	王亮亮	https://www.yuanfudao.com/teachers/39413413/lesson?lessonId=3081184
【技巧课】系统班体验：选择题技巧突破（二）	高三 · 1月13日-1月25日 · 90分钟/次 · 3次课	适合高三 | 全国地区通用	24	1455人报名	https://www.yuanfudao.com/lessons/3096034.html	何燕	https://www.yuanfudao.com/teachers/100387696/lesson?lessonId=3096034
【数学能力发展班】三年级数学寒假系统班（寒2期09:30）	2月10日-2月16日 · 09:30-11:30	适合三年级 | 全国地区通用	99	已报满或无信息	https://www.yuanfudao.com/lessons/3081676.html	太可欣	https://www.yuanfudao.com/teachers/115002862/lesson?lessonId=3081676
【数学能力发展班】二年级数学春季系统班（周五18:30）	3月1日-6月14日 · 18:30-20:30	适合二年级 | 全国地区通用	999	每30人分小班	https://www.yuanfudao.com/lessons/3083034.html	王明	https://www.yuanfudao.com/teachers/75983248/lesson?lessonId=3083034
【目标卓越班】初三物理春季系统班（周五18:00）	3月1日-6月7日 · 18:00-20:30	适合九年级 | 全国地区通用	999	193人报名  每30人分小班	https://www.yuanfudao.com/lessons/3079298.html	曹文亮	https://www.yuanfudao.com/teachers/38815873/lesson?lessonId=3079298
【英语能力发展班】三年级英语春季系统8班	3月5日-6月16日	适合三年级 | 全国地区通用	1650	15人报名  限报30人	https://www.yuanfudao.com/lessons/3092550.html	张丽丽 张姣姣	https://www.yuanfudao.com/teachers/129076440/lesson?lessonId=3092550
【目标985班】高二英语寒假系统班（寒2期21:30）	1月27日-2月3日 · 21:30-23:30	适合高二 | 全国地区通用	249	192人报名	https://www.yuanfudao.com/lessons/3080102.html	靳婧	https://www.yuanfudao.com/teachers/50827463/lesson?lessonId=3080102
【英语能力发展班】五年级英语寒假系统班2班	1月26日-2月2日	适合五年级 | 全国地区通用	700	20人报名	https://www.yuanfudao.com/lessons/3080202.html	李彦彦 余梦琦	https://www.yuanfudao.com/teachers/80092654/lesson?lessonId=3080202
【微专题】地质作用小专题难点突破	高三 · 1月15日-1月29日 · 55分钟/次 · 3次课	适合高三 | 全国地区通用	15	428人报名	https://www.yuanfudao.com/lessons/3098176.html	崔建军	https://www.yuanfudao.com/teachers/173351894/lesson?lessonId=3098176
四年级猿编程L1系统班 第9期（周日晚）	12月23日-4月21日	适合四年级 | 全国地区通用	1999	18人报名	https://www.yuanfudao.com/lessons/3083774.html	张成巍	https://www.yuanfudao.com/teachers/145862676/lesson?lessonId=3083774
高二语文春季系统班（周五21:30）	3月1日-6月14日 · 21:30-23:30	适合高二 | 全国地区通用	499	735人报名  限报2000人	https://www.yuanfudao.com/lessons/3080324.html	王伟	https://www.yuanfudao.com/teachers/57672584/lesson?lessonId=3080324
五、六年级猿编程L1系统班 第12期（周四晚）	4月25日-7月25日 · 不限年级	适合五年级 六年级 | 全国地区通用	1999	1人报名	https://www.yuanfudao.com/lessons/3092090.html	待分配	https://www.yuanfudao.com/teachers/108839892/lesson?lessonId=3092090
初二语文春季系统班（周五18:00）	3月1日-6月21日 · 18:00-20:30	适合八年级 | 全国地区通用	999	137人报名  每30人分小班	https://www.yuanfudao.com/lessons/3079268.html	言博林	https://www.yuanfudao.com/teachers/62947520/lesson?lessonId=3079268
【目标985班】高三物理寒假系统班（寒3期19:00）	2月7日-2月14日 · 19:00-21:00	适合高三 | 全国地区通用	249	984人报名  限报1600人	https://www.yuanfudao.com/lessons/3079112.html	郑少龙	https://www.yuanfudao.com/teachers/35702341/lesson?lessonId=3079112
高三语文寒假系统班（寒2期19:00）	1月27日-2月3日 · 19:00-21:00	适合高三 | 全国地区通用	249	2000人报名	https://www.yuanfudao.com/lessons/3081276.html	何燕	https://www.yuanfudao.com/teachers/100387696/lesson?lessonId=3081276
初三语文春季系统班（周六14:00）	3月2日-6月8日 · 14:00-16:30	适合九年级 | 全国地区通用	999	432人报名  每30人分小班	https://www.yuanfudao.com/lessons/3079350.html	任可	https://www.yuanfudao.com/teachers/14454325/lesson?lessonId=3079350
